,A.I.M.,Abomination (Emil Blonsky),Absorbing Man,Adam Warlock,Aero (Aero),Agatha Harkness,Agent Brand,Agent Zero,Agents of Atlas,Alex Power,Alex Wilder,Alicia Masters,Alpha Flight,Amadeus Cho,American Eagle (Jason Strongbow),Ancient One,Angel (Warren Worthington III),Angela (Aldrif Odinsdottir),Annihilus,Anole,Ant-Man (Eric O'Grady),Ant-Man (Hank Pym),Ant-Man (Scott Lang),Apocalypse,Araña,Arcade,Archangel,Ares,Armor (Hisako Ichiki),Arnim Zola,Attuma,Aurora,Avalanche,Avengers,Azazel (Mutant),Balder,Banshee,Banshee (Theresa Rourke),Baron Mordo (Karl Mordo),Baron Strucker,Baron Zemo (Heinrich Zemo),Baron Zemo (Helmut Zemo),Barracuda,Bart Rozum,Bastion,Batroc the Leaper,Battlestar,Beast,Beast (Ultimate),Beetle (Abner Jenkins),Ben Grimm,Ben Reilly,Ben Urich,Beta-Ray Bill,Bethany Cabe,Betty Brant,Betty Ross,Beyonder,Big Bertha,Bishop,Black Bolt,Black Cat,Black Cat (Ultimate),Black Knight (Dane Whitman),Black Knight (Sir Percy of Scandia),Black Panther,Black Panther (Shuri),Black Panther (Ultimate),Black Tarantula,Black Tom,Black Widow,Black Widow (Ultimate),Black Widow (Yelena Belova),Blackheart,Blackout,Blade,Blastaar,Blindfold,Bling!,Blink,Blob,Bloodstorm,Blue Marvel,"Bob, Agent of Hydra",Boom Boom,Boomerang,Brood,Brother Voodoo,Brotherhood of Evil Mutants,Bruce Banner,Bucky,Bullseye,Cable,Cable (Deadpool),Caliban,Callisto,Cannonball,Captain America,Captain America (Sam Wilson),Captain America (Ultimate),Captain Britain,Captain Britain (Betsy Braddock),Captain Marvel (Carol Danvers),Captain Marvel (Genis-Vell),Captain Marvel (Mar-Vell),Captain Marvel (Monica Rambeau),Captain Marvel (Phyla-Vell),Carnage,Carol Danvers,Cassandra Nova,Cecilia Reyes,Celestials,Chamber,Chameleon,Champions,Charles Xavier,Chase Stein,ClanDestine,Clea,Clint Barton,Cloak,Cobalt Man,Colleen Wing,Colossus,Colossus (Ultimate),Constrictor,Corsair,Cosmo (dog),Cottonmouth,Count Nefaria,Crimson Dynamo,Crossbones,Crule,Crusher Hogan (Ultimate),Crystal,Cyclops,Cypher,Dagger,Daily Bugle,Daimon Hellstrom,Daken,Dakota North,Dani Moonstar,Danny Rand,Daredevil,Daredevil (Ultimate),Dark Avengers,Dark Phoenix,Dark X-Men,Darkhawk,Darkstar,Darwin,Dazzler,Deadpool,Death,Deathbird,Deathlok,Debra Whitman,Defenders,Demogoblin,Destiny,Deviants,Devil Dinosaur (Devil Dinosaur),Diamondback (Rachel Leighton),Doc Samson,Doctor Doom,Doctor Faustus,Doctor Octopus,Doctor Spectrum,Doctor Strange,Doctor Strange (Ultimate),Doctor Voodoo,Domino,Donald Blake,Doop,Dora Milaje,Dormammu,Dracula,Dragon Man,Drax,Druig,Dust,Echo,Eddie Brock,Edwin Jarvis,Ego,Electro,Electro (Ultimate),Elektra,Elixir,Elsa Bloodstone,Emily Bright (Emily Bright),Emma Frost,Empath,Emplate,Enchantress (Amora),Erik the Red,Eternals,Eternity,Excalibur,Executioner (Skurge),Exiles,Exodus,Fabian Cortez,Falcon,Fantastic Four,Fantomex,Fat Cobra,Feral,Fin Fang Foom,Firebird,Firelord,Firestar,Fixer (Paul Norbert Ebersol),Foggy Nelson,Forge,Frank Castle,Frankenstein's Monster,Franklin Richards,Frenzy,Frightful Four,Frog Thor,Galactus,Gambit,Gamora,Gargoyle,Generation X,Genis-Vell,George Stacy (Ultimate),Gertrude Yorkes,Ghost Rider (Daniel Ketch),Ghost Rider (Johnny Blaze),Ghost Rider (Robbie Reyes),Giant Man,Gideon,Gilgamesh,Gladiator (Kallark),Gladiator (Melvin Potter),Goblin Queen,Goliath (Bill Foster),Gorgon,Gorgon (Inhumans),Gorilla Man,Grandmaster,Great Lakes Avengers,Green Goblin (Norman Osborn),Green Goblin (Ultimate),Grey Gargoyle,Groot,Guardians of the Galaxy,Gwen Stacy,H.E.R.B.I.E.,Hammerhead,Hammerhead (Ultimate),Hank Pym,Harry Osborn,Harry Osborn (Ultimate),Havok,Hawkeye,Hawkeye (Kate Bishop),Hawkeye (Ultimate),Hecate (Ravonna Renslayer),Hela,Hellcat (Patsy Walker),Hellfire Club,Hellion,Hellions (Squad),Henry Peter Gyrich,Hepzibah,Hercules,High Evolutionary,Hit-Monkey,Hitman,Hobgoblin (Roderick Kingsley),Holocaust (Age of Apocalypse),Honey Badger (Gabrielle Kinney),Hope Summers,Howard The Duck,Hulk,Hulk (Ultimate),Hulkling,Human Torch,Human Torch (Jim Hammond),Husk,Hydra,Hydro-Man,Iceman,Iceman (Ultimate),Ikaris,Illuminati,Imperial Guard,In-Betweener,Inhumans,Ink,Invaders,Invisible Woman,Iron Fist (Danny Rand),Iron Lad,Iron Man,Iron Man (Ultimate),Iron Monger,Iron Patriot,Ironheart (Riri Williams),J. Jonah Jameson,Jack O' Lantern,Jack Power,Jackal,James Buchanan Barnes,James Howlett,Jamie Braddock,Jane Foster,Jean Grey,Jean Grey (Ultimate),Jessica Drew,Jessica Jones,Jigsaw,Jimmy Woo,Jocasta,John Jameson,Johnny Blaze,Joseph,Jubilee,Juggernaut,Justin Hammer,Ka-Zar,Kang,Karen Page,Karma,Karnak,Karolina Dean ,Kate Bishop,Katie Power,Killmonger,Killraven,Kingpin,Kitty Pryde,Klaw,Korvac,Krakoa,Kraven the Hunter,Kree,Kwannon,Lady Bullseye,Lady Deathstrike,Layla Miller,Leader,Leech,Legion,"Lei Kung, The Thunderer",Lethal Legion,Lightspeed,Lila Cheney,Living Mummy,Liz Osborn,Lizard,Lockheed,Lockjaw,Logan,Loki,Longshot,Luke Cage,Luna Snow (Luna Snow),M (Monet St. Croix),M.O.D.A.M.,M.O.D.O.K.,Machine Man,Mad Thinker,Madame Hydra,Madame Masque,Madame Web (Julia Carpenter),Madelyne Pryor,Madrox,Maelstrom,Maestro,Maggott,Magik (Illyana Rasputin),Magma (Amara Aquilla),Magneto,Magneto (Ultimate),Magus (Adam Warlock),Makkari,Malekith,Man-Thing,Man-Wolf,Mandarin,Mantis,Marauders,Maria Hill,Mariko Yashida,Marrow,Marvel Boy,Marvel Zombies,Mary Jane Watson,Mary Jane Watson (Ultimate),Masque,Masters of Evil,Maverick (Chris Bradley),Maverick (Christoph Nord),Maximus,May Parker,Medusa,Meggan,Menace,Mentor,Mephisto,Mercury,Mesmero,Microchip,Micromax,Mikhail Rasputin,Millie the Model,Miracleman,Miss America,Mister Sinister,Misty Knight,Mockingbird,Moira MacTaggert,Mojo,Mole Man,Molecule Man,Molly Hayes,Mongoose,Moon Girl (Lunella Layfayette),Moon Knight,Moon Knight (Ultimate),Moondragon,Moonstone,Morbius,Morgan Le Fay,Morlocks,Morlun,Morph,Mother Askani,Mr. Fantastic,Mr. Fantastic (Ultimate),Mr. Fish,Mr. Fixit,Mr. Hyde,Mr. Negative,Mr. X,Ms. America (America Chavez),Ms. Marvel (Kamala Khan),Multiple Man,Mysterio,Mystique,Nakia (Nakia),Namor,Namora,Natasha Romanoff,Nebula,Nekra,Nemesis,New Mutants,New Warriors,New X-Men,Nick Fury,Nick Fury (Ultimate),Nico Minoru,Night Nurse (Linda Carter),Night Thrasher,Nightcrawler,Nighthawk,Nightmare,Nightshade,Nitro,Nomad (Rikki Barnes),Norman Osborn,Northstar,Nova,Nova (Frankie Raye),Nova (Sam Alexander),Nuke,Odin,Okoye,Old Lace,Old Man Logan (Earth-807128),Omega Red,Omega Sentinel,Omega the Unknown,Onslaught,Orphan-Maker,Otto Octavius,Outlaw (Inez Temple),Owl,Paladin,Patch,Patriot,Peggy Carter (Captain Carter),Penance (Monet St. Croix),Pepper Potts,Pet Avengers,Pete Wisdom,Peter Parker,Peter Quill,Phalanx,Phantom Reporter,Phil Coulson (Phil Coulson),Phil Sheldon,Phoenix Force,Photon,Phyla-Vell,Pip,Pixie,Polaris,Power Pack,Pride,Prodigy,Prodigy (David Alleyne),Professor X,Proteus,Prowler,Psylocke,Puck,Punisher,Puppet Master,Purifiers,Purple Man,Pyro,Quake (Daisy Johnson),Quasar (Phyla-Vell),Quasar (Wendell Vaughn),Quentin Quire,Quicksilver,Quicksilver (Ultimate),Rachel Grey,Radioactive Man,Raza,Red Guardian (Alexei Shostakov),Red Hulk,Red She-Hulk,Red Skull,Red Wolf,Redwing,Reptil,Rhino,Rick Jones,Ricochet,Rictor,Risque,Robbie Robertson,Rocket Raccoon,Rockslide,Rogue,Rogue (Ultimate),Romulus,Ronan,Runaways,S.H.I.E.L.D.,Sabretooth,Sabretooth (Age of Apocalypse),Sage,Sandman,Sasquatch (Walter Langkowski),Satana,Sauron,Scalphunter,Scarecrow (Ebenezer Laughton),Scarlet Spider (Ben Reilly),Scarlet Spider (Kaine),Scarlet Witch,Scarlet Witch (Ultimate),Scorpion (Mac Gargan),Scream (Donna Diego),Screwball,Sebastian Shaw,Secret Warriors,Selene,Sentinels,Sentry (Robert Reynolds),Serpent Society,Sersi,Shadow King,Shadowcat,Shadowcat (Age of Apocalypse),Shaman,Shang-Chi,Shanna the She-Devil,Sharon Carter,Shatterstar,She-Hulk (Jennifer Walters),She-Hulk (Ultimate),Shi'Ar,Shinobi Shaw,Shocker (Herman Schultz),Shriek,Sif,Silhouette,Silk (Cindy Moon),Silver Fox,Silver Sable,Silver Samurai,Silver Samurai (Age of Apocalypse),Silver Surfer,Silvermane,Sin,Sinister Six,Sister Grimm,Skaar,Skrulls,Slapstick,Sleeper,Sleepwalker,Solo (James Bourne),Songbird,Sons of the Tiger,Spectrum,Speed,Speed Demon,Speedball (Robert Baldwin),Spider-Girl (Anya Corazon),Spider-Girl (May Parker),Spider-Gwen (Gwen Stacy),Spider-Ham (Larval Earth),Spider-Man (1602),Spider-Man (2099),Spider-Man (Ben Reilly),Spider-Man (Miles Morales),Spider-Man (Noir),Spider-Man (Peter Parker),Spider-Man (Ultimate),Spider-Woman (Charlotte Witter),Spider-Woman (Jessica Drew),Spider-Woman (Mattie Franklin),Spiral (Rita Wayword),Spot,Squirrel Girl,Stacy X,Star Brand,Star-Lord (Peter Quill),Starfox,Starjammers,Stature,Stegron,Stepford Cuckoos,Steve Rogers,Stilt-Man (Wibur Day),Storm,Storm (Age of Apocalypse),Storm (Ultimate),Stranger,Strong Guy,Stryfe,Sub-Mariner,Sunfire,Sunspot,Super-Skrull,Surge,Surtur,Swarm,Sway,Switch,Sword Master (Sword Master),Swordsman,Synch,T'Challa,Talkback (Chase Stein),Talon (Fraternity of Raptors),Taskmaster,Tempest,Terrax,Thanos,The Collector (Taneleer Tivan),The Hand,The Hood,The Howling Commandos,The Watchers,Thena,Thing,Thor,Thor (Goddess of Thunder),Thor (Ultimate),Thunderbird (John Proudstar),Thunderbolt Ross,Thunderbolts,Thundra,Tiger Shark,Tigra (Greer Nelson),Tinkerer,Tippy Toe,Titania,Toad,Tombstone,Tony Stark,Toro (Thomas Raymond),Toxin,Toxin (Eddie Brock),Trevor Fitzroy,Triton,Tyger Tiger,Typhoid Mary,U-Foes,U.S. Agent,Uatu The Watcher,Ulik,Ultimate Spider-Man (USM),Ultimates,Ultimo,Ultron,Umar,Union Jack (Joseph Chapman),Valeria Richards,Valkyrie (Exiles),Vanisher (Ultimate),Vengeance (Michael Badilino),Venom (Flash Thompson),Venom (Ultimate),Victor Mancha,Victor Von Doom,Vindicator,Viper,Vision,Vulcan (Gabriel Summers),Vulture (Adrian Toomes),Vulture (Blackie Drago),War Machine (James Rhodes),Warbound,Warhawk (Mitchell Tanner),Warlock (Technarchy),Warpath,Warren Worthington III,Wasp,Wasp (Ultimate),Wave (Wave),Weapon X,Wendigo,Werewolf By Night,Whiplash (Anton Vanko),White Tiger (Angela Del Toro),Wiccan,Wild Child,Wild Pack,William Stryker,Wind Dancer,Winter Soldier,Wither,Wolfpack,Wolfsbane,Wolverine,Wolverine (Ultimate),Wonder Man,Wong,Wraith,Wrecker,Wrecking Crew,X-23,X-Babies,X-Factor,X-Force,X-Man,X-Men,X-Men (Ultimate),X-Statix,Xavin,Xorn (Kuan-Yin Xorn),Yellowjacket (Hank Pym),Yondu,Young Avengers,Zeus,Total Collaborations
A.I.M.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,47
Abomination (Emil Blonsky),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Absorbing Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
Adam Warlock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,129
Aero (Aero),0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
