,3-D Man,A-Bomb,A.I.M.,Aaron Stack,Abomination,Absorbing Man,Abyss,Adam Warlock,Aero,Agatha Harkness,Agent Brand,Agent X,Agent Zero,Agents of Atlas,Air-Walker,Ajak,Albion,Alex Power,Alex Wilder,Alexander Pierce,Alicia Masters,Alpha Flight,Amadeus Cho,Amanda Sefton,American Eagle,Amiko,Amora,Amphibian,Ancient One,Angel,Angela,Anita Blake,Annihilus,Anole,Ant-Man,Anthem,Apocalypse,Arachne,Araña,Arcade,Arcana,Archangel,Arclight,Ares,Armadillo,Armor,Armory,Arnim Zola,Atlas,Attuma,Aurora,Avalanche,Azazel,Balder,Banshee,Baron Mordo,Baron Strucker,Baron Zemo,Baroness S'Bak,Barracuda,Bart Rozum,Bastion,Batroc the Leaper,Battering Ram,Battlestar,Beak,Beast,Bedlam,Beef,Beetle,Belasco,Ben Grimm,Ben Parker,Ben Reilly,Ben Urich,Bengal,Beta-Ray Bill,Bethany Cabe,Betty Brant,Betty Ross,Beyonder,Big Bertha,Big Wheel,Bishop,Black Bolt,Black Cat,Black Crow,Black Knight,Black Panther,Black Queen,Black Tarantula,Black Tom,Black Widow,Black Widow/Natasha Romanoff,Blackheart,Blacklash,Blackout,Blade,Blastaar,Blazing Skull,Blindfold,Bling!,Blink,Blizzard,Blob,Blockbuster,Blok,Bloke,Blonde Phantom,Bloodaxe,Bloodscream,Bloodstorm,Blue Blade,Blue Marvel,Blue Shield,Blur,"Bob, Agent of Hydra",Boom Boom,Boomer,Boomerang,Box,Bride of Nine Spiders,Brood,Brother Voodoo,Brotherhood of Evil Mutants,Brotherhood of Mutants,Bruce Banner,Brute,Bucky,Bug,Bulldozer,Bullseye,Bushwacker,Butterfly,Cable,Calamity,Caliban,Callisto,Calypso,Cammi,Cannonball,Captain America,Captain Britain,Captain Marvel,Captain Stacy,Captain Universe,Cardiac,Caretaker,Cargill,Carlie Cooper,Carmella Unuscione,Carnage,Carol Danvers,Carrion,Cassandra Nova,Catseye,Cecilia Reyes,Celestials,Centennial,Cerebro,Cerise,Ch'od,Chamber,Chameleon,Champions,Charles Xavier,Charlie-27,Chase Stein,Chimera,Chores MacGillicudy,Christian Walker,Chronomancer,Chthon,ClanDestine,Clea,Clint Barton,Cloak,Cloud 9,Cobalt Man,Colleen Wing,Colossus,Confederates of the Curious,Constrictor,Contessa,Controller,Corsair,Cosmo,Cottonmouth,Count Nefaria,Countess,Crimson Dynamo,Crossbones,Crule,Crusher Hogan,Crystal,Cuckoo,Curt Conners,Cyber,Cyclops,Cypher,D'Ken Neramani,Dagger,Daily Bugle,Daimon Hellstrom,Daken,Dakota North,Damage Control,Dani Moonstar,Danny Rand,Daredevil,Dargo Ktor,Dark Avengers,Dark Beast,Dark Phoenix,Dark X-Men,Darkhawk,Darkstar,Darwin,Dazzler,Deacon Frost,Dead Girl,Deadpool,Death,Deathbird,Deathcry,Deathlok,Deathstrike,Debra Whitman,Debrii,Deena Pilgrim,Defenders,Demogoblin,Destiny,Detective Soap,Deviants,Devil Dinosaur,Devos,Dexter Bennett,Diablo,Diamondback,Dinah Soar,Doc Samson,Doctor Doom,Doctor Faustus,Doctor Octopus,Doctor Spectrum,Doctor Strange,Doctor Voodoo,Dog Brother #1,Domino,Donald Blake,Doomsday Man,Doop,Doorman,Dora Milaje,Dormammu,Dracula,Dragon Lord,Dragon Man,Drax,Dreadnoughts,Dreaming Celestial,Druig,Dum Dum Dugan,Dust,Earthquake,Echo,Eddie Brock,Edwin Jarvis,Ego,Electro,Elektra,Elements of Doom,Elite,Elixir,Elloe Kaifi,Elsa Bloodstone,Emily Bright,Emma Frost,Empath,Emplate,Enchantress,Ender Wiggin,Energizer,Erik the Red,Eternals,Eternity,Excalibur,Executioner,Exiles,Exodus,Ezekiel,Ezekiel Stane,Fabian Cortez,Falcon,Famine,Fantastick Four,Fantomex,Fat Cobra,Felicia Hardy,Fenris,Feral,Fin Fang Foom,Firebird,Firebrand,Firelord,Firestar,Fixer,Flatman,Foggy Nelson,Force Works,Forearm,Forge,Forgotten One,Frank Castle,Frankenstein's Monster,Franklin Richards,Franklin Storm,Freak,Frenzy,Frightful Four,Frog Thor,Frog-Man,GW Bridge,Galactus,Gambit,Gamora,Gargoyle,Garrison Kane,Gateway,Gauntlet,Generation X,Genesis,Genis-Vell,George Stacy,Gertrude Yorkes,Ghost Rider,Giant Girl,Giant Man,Giant-Man,Gideon,Gilgamesh,Gladiator,Glenn Talbot,Glorian,Goblin Queen,Goliath,Gorgon,Gorilla Man,Grandmaster,Graviton,Gravity,Great Lakes Avengers,Green Goblin,Grey Gargoyle,Grim Reaper,Groot,Guardian,Guardians of the Galaxy,Gwen Stacy,H.A.M.M.E.R.,H.E.R.B.I.E.,Hairball,Half-Life,Hammerhead,Hank Pym,Hannibal King,Happy Hogan,Hardball,Harpoon,Harry Osborn,Hate-Monger,Havok,Hawkeye,Hecate,Hedge Knight,Hela,Hellcat,Hellfire Club,Hellion,Hellions,Hemingway,Henry Peter Gyrich,Hepzibah,Hercules,Heroes For Hire,High Evolutionary,Hindsight Lad,Hiroim,Hit-Monkey,Hitman,Hobgoblin,Holocaust,Honey Badger,Hope Summers,Howard The Duck,Hulk,Hulkling,Human Cannonball,Human Robot,Human Torch,Humbug,Husk,Hussar,Hydra,Hydro-Man,Hyperion,Hypno-Hustler,Iceman,Ikaris,Illuminati,Ilyana Rasputin,Immortus,Imperial Guard,Impossible Man,In-Betweener,Inertia,Inhumans,Ink,Invaders,Invisible Woman,Iron Fist,Iron Lad,Iron Man,Iron Monger,Iron Patriot,Ironheart,Isaiah Bradley,J. Jonah Jameson,Jack Murdock,Jack O' Lantern,Jack Power,Jackal,Jackpot,James Buchanan Barnes,James Howlett,Jamie Braddock,Jane Foster,"Janus, the Nega-Man",Jasper Sitwell,Jean Grey,Jeryn Hogarth,Jessica Drew,Jessica Jones,Jetstream,Jigsaw,Jimmy Woo,Jocasta,John Jameson,John Wraith,Johnny Blaze,Johnny Storm,Joseph,Josiah X,Joystick,Jubilee,Juggernaut,Julian Keller,Junta,Justice,Justin Hammer,Ka-Zar,Kabuki,Kang,Karen Page,Karma,Karnak,Karolina Dean,Kat Farrell,Kate Bishop,Katie Power,Ken Ellis,Kid Colt,Killer Shrike,Killmonger,Killraven,King Bedlam,King Cobra,Kingpin,Kitty Pryde,Klaw,Komodo,Korath,Korg,Korvac,Krakoa,Kraven the Hunter,Kree,Kulan Gath,Kwannon,La Nuit,Lady Bullseye,Lady Deathstrike,Lady Mastermind,Lava-Man,Layla Miller,Leader,Leech,Legion,"Lei Kung, The Thunderer",Leper Queen,Lethal Legion,Lieutenant Marcus Stone,Lifeguard,Lightning Lords of Nepal,Lightspeed,Lila Cheney,Lilandra,Lilith,Lily Hollister,Lionheart,Living Laser,Living Lightning,Living Mummy,Living Tribunal,Liz Osborn,Lizard,Loa,Lockheed,Lockjaw,Logan,Loki,Loners,Longshot,Lord Hawal,Lorna Dane,Lucky Pierre,Luke Cage,Luna Snow,Lyja,M,M.O.D.A.M.,M.O.D.O.G.,M.O.D.O.K.,MVP,Ma Gnuci,Mach IV,Machine Man,Mad Thinker,Madame Hydra,Madame Masque,Madame Web,Maddog,Madelyne Pryor,Madripoor,Madrox,Maelstrom,Maestro,Magdalene,Maggott,Magik,Magma,Magneto,Magus,Makkari,Malcolm Colcord,Malekith,Man-Thing,Man-Wolf,Mandarin,Mandrill,Mandroid,Manta,Mantis,Marauders,Maria Hill,Mariko Yashida,Marrow,Marvel Apes,Marvel Boy,Marvel Zombies,Marvelman,Marvex,Mary Jane Watson,Masked Marvel,Masque,Master Chief,Master Mold,Mastermind,Masters of Evil,Matthew Murdock,Mauler,Maverick,Maximus,May Parker,Medusa,Meggan,Meltdown,Menace,Mentallo,Mentor,Mephisto,Mercury,Mesmero,Meteorite,Microbe,Microchip,Micromax,Miek,Mikhail Rasputin,Millie the Model,Mimic,Mindworm,Miracleman,Miss America,Mister Fear,Mister Sinister,Misty Knight,Mockingbird,Moira MacTaggert,Mojo,Mole Man,Molecule Man,Molly Hayes,Molly Von Richtofen,Molten Man,Mongoose,Monster Badoon,Moon Girl,Moon Knight,Moondragon,Moonstone,Morbius,Mordo,Morg,Morgan Le Fay,Morgan Stark,Morlocks,Morlun,Morph,Mother Askani,Mr. Fantastic,Mr. Fish,Mr. Fixit,Mr. Hyde,Mr. Immortal,Mr. Negative,Mr. X,Ms. America,Ms. Marvel,Mulholland Black,Multiple Man,Mysterio,Mystique,Nakia,Namor,Namora,Namorita,Natasha Romanoff,Nebula,Nekra,Nemesis,New Mutants,New Warriors,New X-Men,Newton Destine,Next Avengers,Nextwave,Nick Fury,Nico Minoru,Nicolaos,Night Nurse,Night Thrasher,Nightcrawler,Nighthawk,Nightmare,Nightshade,Nine-Fold Daughters of Xao,Nitro,Nocturne,Nomad,Norman Osborn,Northstar,Nova,Nuke,Obadiah Stane,Odin,Ogun,Okoye,Old Lace,Old Man Logan,Omega,Omega Flight,Omega Red,Omega Sentinel,Omega the Unknown,Onslaught,Oracle,Ord,Orphan,Orphan-Maker,Otto Octavius,Outlaw,Outlaw Kid,Owl,Ozymandias,Paibok,Paladin,Pandemic,Paper Doll,Patch,Patriot,Peggy Carter,Penance,Pepper Potts,Pestilence,Pet Avengers,Pete Wisdom,Peter Parker,Peter Quill,Phalanx,Phantom Reporter,Phil Coulson,Phil Sheldon,Phoenix Force,Photon,Phyla-Vell,Piledriver,Pip,Pixie,Plazm,Polaris,Post,Power Pack,Praxagora,Preak,Pretty Boy,Pride,Prince of Orphans,Prism,Prodigy,Professor X,Proteus,Proudstar,Prowler,PsyNapse,Psycho-Man,Psylocke,Puck,Puma,Punisher,Puppet Master,Purifiers,Purple Man,Pyro,Quake,Quasar,Quasimodo,Quentin Quire,Quicksilver,Rachel Grey,Radioactive Man,Rage,Randall,Randall Flagg,Random,Ravenous,Rawhide Kid,Raza,Reaper,Reavers,Red Ghost,Red Guardian,Red Hulk,Red She-Hulk,Red Shift,Red Skull,Red Wolf,Redwing,Reptil,Retro Girl,Revanche,Rhino,Rhodey,Rick Jones,Ricochet,Rictor,Riptide,Risque,Robbie Robertson,Rocket Raccoon,Rocket Racer,Rockslide,Rogue,Roland Deschain,Romulus,Ronan,Ronin,Roughhouse,Roulette,Rumiko Fujikawa,Runaways,S.H.I.E.L.D.,Sabra,Sabretooth,Sage,Salem's Seven,Sally Floyd,Salo,Sandman,Santa Claus,Sasquatch,Satana,Sauron,Scalphunter,Scarecrow,Scarlet Spider,Scarlet Witch,Scorpion,Scourge,Scrambler,Scream,Screwball,Sebastian Shaw,Secret Warriors,Selene,Senator Kelly,Sentinel,Sentinels,Sentry,Ser Duncan,Serpent Society,Sersi,Shadow King,Shadowcat,Shadu the Shady,Shalla-bal,Shaman,Shang-Chi,Shanna the She-Devil,Shape,Shard,Sharon Carter,Sharon Ventura,Shatterstar,She-Hulk,Shi'Ar,Shinobi Shaw,Shiva,Shiver Man,Shocker,Shockwave,Shooting Star,Shotgun,Shriek,Sif,Silhouette,Silk,Silver Fox,Silver Sable,Silver Samurai,Silver Surfer,Silverclaw,Silvermane,Sin,Sinister Six,Sister Grimm,Skaar,Skin,Skreet,Skrulls,Skullbuster,Slapstick,Slayback,Sleeper,Sleepwalker,Slipstream,Slyde,Smasher,Snowbird,Solo,Songbird,Sons of the Tiger,Spectrum,Speed,Speed Demon,Speedball,Spencer Smythe,Spider-Girl,Spider-Gwen,Spider-Ham,Spider-Man,Spider-Woman,Spiral,Spitfire,Spot,Squadron Sinister,Squadron Supreme,Squirrel Girl,Stacy X,Star Brand,Star-Lord,Starbolt,Stardust,Starfox,Starhawk,Starjammers,Stature,Steel Serpent,Stegron,Stellaris,Stepford Cuckoos,Stephen Strange,Steve Rogers,Stick,Stilt-Man,Stingray,Storm,Stranger,Strong Guy,Stryfe,Sub-Mariner,Sue Storm,Sugar Man,Sumo,Sunfire,Sunset Bain,Sunspot,Super Hero Squad,Super-Adaptoid,Super-Skrull,Supernaut,Supreme Intelligence,Surge,Surtur,Swarm,Sway,Switch,Sword Master,Swordsman,Sym,Synch,T'Challa,Tag,Talisman,Talkback,Talon,Talos,Tana Nile,Tarantula,Tarot,Taskmaster,Taurus,Tempest,Tenebrous,Terrax,Terror,Texas Twister,Thaddeus Ross,Thanos,The Anarchist,The Collector,The Enforcers,The Fury,The Hand,The Hood,The Howling Commandos,The Initiative,The Liberteens,The Order,The Professor,The Renegades,The Stranger,The Twelve,The Watchers,Thena,Thing,Thor,Thor Girl,Thunderball,Thunderbird,Thunderbolt,Thunderbolt Ross,Thunderbolts,Thundra,Tiger Shark,Tiger's Beautiful Daughter,Tigra,Timeslip,Tinkerer,Tippy Toe,Titania,Titanium Man,Toad,Toad Men,Tombstone,Tomorrow Man,Tony Stark,Toro,Toxin,Trauma,Trevor Fitzroy,Triathlon,Triton,True Believers,Turbo,Tusk,Two-Gun Kid,Tyger Tiger,Typhoid Mary,Tyrannus,U-Foes,U-Go Girl,U.S. Agent,Uatu The Watcher,Ulik,Ultimate Spider-Man,Ultimates,Ultimatum,Ultimo,Ultra-Adaptoid,Ultragirl,Ultron,Umar,Unicorn,Union Jack,Unus,Valeria Richards,Valkyrie,Vance Astro,Vanisher,Vargas,Veda,Vengeance,Venom,Venus,Venus Dee Milo,Vermin,Vertigo,Victor Mancha,Victor Von Doom,Vin Gonzales,Vindicator,Viper,Virginia Dare,Vision,Vivisector,Vulcan,Vulture,Wallflower,War,War Machine,Warbird,Warbound,Warhawk,Warlock,Warpath,Warren Worthington III,Warstar,Wasp,Wave,Weapon Omega,Weapon X,Wendell Rand,Wendigo,Werewolf By Night,Whiplash,Whirlwind,White Tiger,Whizzer,Wiccan,Wild Child,Wild Pack,Wildside,William Stryker,Wind Dancer,Winter Soldier,Wither,Wolfpack,Wolfsbane,Wolverine,Wonder Man,Wong,Wraith,Wrecker,Wrecking Crew,X-23,X-Babies,X-Cutioner,X-Factor,X-Factor Investigations,X-Force,X-Man,X-Statix,Xavin,Xorn,Yellow Claw,Yellowjacket,Yondu,Young Avengers,Young X-Men,Zaladane,Zaran,Zarda,Zemo,Zeus,Zodiak,Zombie,Zuras,Zzzax
3-D Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
A-Bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.I.M.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
